Doctor_Name,specialization,avg_rate,clinic_location,Category,general_location,Unnamed: 0,latitude_exact,longitude_exact,latitude_general,longitude_general,latitude,longitude
Amr Salah,ENT Doctor,4.5,El-Abbasia,"Eye, Ear and Nose",El-Abbasia,25.0,30.0648589,31.2916881,30.0648589,31.2916881,30.0648589,31.2916881
Hani El-Shazly,Cardiologist,4.0,"El-Mohandessin , ahmed orabi",Cardiovascular,"El-Mohandessin , ahmed orabi",,,,,,,
Dina El-Din,Psychiatrist,4.0,El-Mokattam,Neurological and Psychiatric,El-Mokattam,27.0,30.0221089,31.2683682,30.0221089,31.2683682,30.0221089,31.2683682
Sara Taha,Dentist,5.0,"El-Maadi , 77 Street Extension - Arab El Maadi",Others,"El-Maadi , 77 Street Extension - Arab El Maadi",,,,,,,
Firas Ibrahim,Ophthalmologist,4.5,"Faisal , faisal main street","Eye, Ear and Nose","Faisal , faisal main street",,,,,,,
Khaled El-Kassas,Endocrinologist,4.5,New Cairo,Others,New Cairo,30.0,30.0277688,31.4756825,30.0277688,31.4756825,30.0277688,31.4756825
Ibrahim El-Sayed,Rheumatologist,4.5,"Nasr City , Ahmed qasim branched from abbas elakaad",Musculoskeletal,"Nasr City , Ahmed qasim branched from abbas elakaad",,,,,,,
Sara Nasser,Orthopedist,4.5,"Sidy Bishr , 196 Gamal Abdelnasser st, - Beside Baba Sharo.",Musculoskeletal,"Sidy Bishr , 196 Gamal Abdelnasser st, - Beside Baba Sharo.",,,,,,,
Firas El-Sherif,Physiotherapist,4.5,"Faisal , Huda Mosque Street",Musculoskeletal,"Faisal , Huda Mosque Street",,,,,,,
Ali El-Shazly,Physiotherapist,4.5,"Nasr City , metwally el shaarawy",Musculoskeletal,"Nasr City , metwally el shaarawy",,,,,,,
Aya El-Masry,Ophthalmologist,5.0,Miamy,"Eye, Ear and Nose",Miamy,35.0,-23.4461564,-51.8861956,-23.4461564,-51.8861956,-23.4461564,-51.8861956
Ali El-Kassas,Gynecologist,4.5,"Faisal , king Faisal Street",Urinary and Reproductive,"Faisal , king Faisal Street",,,,,,,
Nour Zaki,Dermatologist,4.5,"Faisal , gendia  mall _eltawabek",Skin,"Faisal , gendia  mall _eltawabek",,,,,,,
Sara El-Baz,ENT Doctor,4.5,"El-Mansoura , gehan","Eye, Ear and Nose","El-Mansoura , gehan",,,,,,,
Yasmin El-Shennawy,Internist,4.5,"El-Zagazig , mahmoud hashem street-Kawmya",Others,"El-Zagazig , mahmoud hashem street-Kawmya",,,,,,,
Adel Samir,Cardiologist,4.5,"El-Mansoura , salah salem street",Cardiovascular,"El-Mansoura , salah salem street",,,,,,,
Omar Kamel,Neurologist,4.5,"El-Dokki , Wezaret El Zeraa Street",Neurological and Psychiatric,"El-Dokki , Wezaret El Zeraa Street",,,,,,,
Jamal Hussein,Dentist,4.5,"Faisal , 106 king fisal above ahli bank front of vodafone maryotya",Others,"Faisal , 106 king fisal above ahli bank front of vodafone maryotya",,,,,,,
Heba Khalil,Dentist,4.0,Sidy Bishr,Others,Sidy Bishr,,,,,,,
Noha El-Masry,Dentist,4.5,"New Cairo , 90",Others,"New Cairo , 90",,,,,,,
Mostafa Zaki,Physiotherapist,4.5,"Hadayek El-Ahram , Fifth North Street after Menkaure Gate",Musculoskeletal,"Hadayek El-Ahram , Fifth North Street after Menkaure Gate",,,,,,,
Aya Zaki,Dentist,4.5,"Shoubra , shikolany",Others,"Shoubra , shikolany",,,,,,,
Ali Hassan,Dentist,4.5,"Assiut city , yousry ragheb extention",Others,"Assiut city , yousry ragheb extention",,,,,,,
Reem Farouk,Dentist,4.0,"El-Sayeda Zainab , A Elkasr Eleini",Others,"El-Sayeda Zainab , A Elkasr Eleini",,,,,,,
Fady El-Sayed,Physiotherapist,4.5,"Sidy Bishr , Alaman st. from sidi Beshr mosque st.",Musculoskeletal,"Sidy Bishr , Alaman st. from sidi Beshr mosque st.",,,,,,,
Salim Mostafa,Gastroenterologist,5.0,El-Maadi,Gastrointestinal and Liver,El-Maadi,50.0,36.6117091,4.6680878,36.6117091,4.6680878,36.6117091,4.6680878
Nadia Mansour,Physiotherapist,5.0,El-Mansoura,Musculoskeletal,El-Mansoura,0.0,36.786091,9.9000163,36.786091,9.9000163,36.786091,9.9000163
Nour Khalil,Dermatologist,4.5,El-Ibrahimia,Skin,El-Ibrahimia,1.0,28.4243751,30.7932891,28.4243751,30.7932891,28.4243751,30.7932891
Amira Fathy,Orthopedist,4.5,6th of October,Musculoskeletal,6th of October,2.0,29.9723458,30.9409205,29.9723458,30.9409205,29.9723458,30.9409205
Tamer El-Khatib,Gynecologist,4.758470894874023,El-Haram,Urinary and Reproductive,El-Haram,3.0,29.9942663,31.1604591,29.9942663,31.1604591,29.9942663,31.1604591
Rami Abdelrahman,Dermatologist,5.0,Nasr City,Skin,Nasr City,4.0,30.0521177,31.3422045,30.0521177,31.3422045,30.0521177,31.3422045
Youssef Fathy,Plastic Surgeon,4.0,El-Zagazig,Musculoskeletal,El-Zagazig,51.0,30.5950402,31.5125611,30.5886074,31.4819297,30.5950402,31.5125611
Omar Saeed,Internist,4.5,"El-Zagazig , mahmoud hashem street-Kawmya",Others,"El-Zagazig , mahmoud hashem street-Kawmya",,,,,,,
Bassam El-Naggar,Pulmonologist,4.5,El-Mokattam,Respiratory,El-Mokattam,27.0,30.0221089,31.2683682,30.0221089,31.2683682,30.0221089,31.2683682
Ibrahim Mansour,Dermatologist,4.5,"Faisal , gendia  mall _eltawabek",Skin,"Faisal , gendia  mall _eltawabek",,,,,,,
Nader El-Sherbiny,Neurologist,4.5,"El-Dokki , Wezaret El Zeraa Street",Neurological and Psychiatric,"El-Dokki , Wezaret El Zeraa Street",,,,,,,
Ali Fahmy,Dentist,4.5,"El-Zagazig , ,  El Obour Bridge extension",Others,"El-Zagazig , ,  El Obour Bridge extension",,,,,,,
Firas Abdallah,Dentist,4.5,"Shoubra , shoubra street",Others,"Shoubra , shoubra street",,,,,,,
Hassan Salah,Dentist,4.0,El-Fayoum city,Others,El-Fayoum city,54.0,29.3074076,30.8399651,29.3074076,30.8399651,29.3074076,30.8399651
Zein El-Sherbiny,Physiotherapist,4.5,"Hadayek El-Ahram , Fifth North Street after Menkaure Gate",Musculoskeletal,"Hadayek El-Ahram , Fifth North Street after Menkaure Gate",,,,,,,
Zein El-Kassas,Dentist,4.5,"New Cairo , 90",Others,"New Cairo , 90",,,,,,,
Heba Kamel,Dentist,4.5,"Assiut city , yousry ragheb extention",Others,"Assiut city , yousry ragheb extention",,,,,,,
Salim Samir,Dentist,4.0,Sidy Bishr,Others,Sidy Bishr,,,,,,,
Nour El-Hadidy,Dentist,4.5,"Heliopolis , othman ibn affan",Others,"Heliopolis , othman ibn affan",,,,,,,
Amr Saeed,Dentist,4.5,"Tanta , saeed with omar abd el3aziz",Others,"Tanta , saeed with omar abd el3aziz",,,,,,,
Nour El-Kassas,Dentist,4.5,"Shoubra , shikolany",Others,"Shoubra , shikolany",,,,,,,
Nour Mostafa,Dentist,4.5,El-Mokattam,Others,El-Mokattam,27.0,30.0221089,31.2683682,30.0221089,31.2683682,30.0221089,31.2683682
Mahmoud El-Shazly,Dentist,4.5,"Faisal , 106 king fisal above ahli bank front of vodafone maryotya",Others,"Faisal , 106 king fisal above ahli bank front of vodafone maryotya",,,,,,,
Walid Gaber,Dentist,4.0,"El-Sayeda Zainab , A Elkasr Eleini",Others,"El-Sayeda Zainab , A Elkasr Eleini",,,,,,,
Adel Mansour,Urologist,4.5,"El-Zagazig , next to sednawy hospital",Urinary and Reproductive,"El-Zagazig , next to sednawy hospital",,,,,,,
Hani El-Mahdy,Orthopedist,4.5,"Hadayek El-Ahram , Gardenia Street",Musculoskeletal,"Hadayek El-Ahram , Gardenia Street",,,,,,,
Walid El-Gendy,Gynecologist,4.5,6th of October,Urinary and Reproductive,6th of October,2.0,29.9723458,30.9409205,29.9723458,30.9409205,29.9723458,30.9409205
Bassam Mostafa,Physiotherapist,4.5,"New Cairo , El Narges Services Area",Musculoskeletal,"New Cairo , El Narges Services Area",,,,,,,
Youssef Mansour,Physiotherapist,4.5,"Sidy Bishr , Alaman st. from sidi Beshr mosque st.",Musculoskeletal,"Sidy Bishr , Alaman st. from sidi Beshr mosque st.",,,,,,,
Nadia Mostafa,Dentist,4.5,El-Mansoura,Others,El-Mansoura,0.0,36.786091,9.9000163,36.786091,9.9000163,36.786091,9.9000163
Salim Khalil,Dentist,4.5,"Nasr City ,  Mohamed Almakreif",Others,"Nasr City ,  Mohamed Almakreif",,,,,,,
Amr El-Sherif,Dentist,4.5,"Madinaty , Medical Center",Others,"Madinaty , Medical Center",,,,,,,
Noha Saeed,Orthopedist,4.5,"Hadayek El-Ahram , elgish street",Musculoskeletal,"Hadayek El-Ahram , elgish street",,,,,,,
Jamal Saeed,Gynecologist,4.5,"El-Maadi , carrefour road",Urinary and Reproductive,"El-Maadi , carrefour road",,,,,,,
Firas El-Naggar,Audiologist,4.5,"Faisal , fisal street","Eye, Ear and Nose","Faisal , fisal street",,,,,,,
Amr Hussein,Dentist,4.0,"Sidy Bishr , 41 Albekbashy Elesawy st., in front of the Computer Mall.",Others,"Sidy Bishr , 41 Albekbashy Elesawy st., in front of the Computer Mall.",,,,,,,
Heba Mansour,Physiotherapist,5.0,El-Mansoura,Musculoskeletal,El-Mansoura,0.0,36.786091,9.9000163,36.786091,9.9000163,36.786091,9.9000163
Aya Shalaby,Dermatologist,4.5,El-Ibrahimia,Skin,El-Ibrahimia,1.0,28.4243751,30.7932891,28.4243751,30.7932891,28.4243751,30.7932891
Adel El-Sherbiny,Orthopedist,4.5,6th of October,Musculoskeletal,6th of October,2.0,29.9723458,30.9409205,29.9723458,30.9409205,29.9723458,30.9409205
Salim El-Sherif,Gynecologist,4.758470894874023,El-Haram,Urinary and Reproductive,El-Haram,3.0,29.9942663,31.1604591,29.9942663,31.1604591,29.9942663,31.1604591
Hani Nasser,Dermatologist,5.0,Nasr City,Skin,Nasr City,4.0,30.0521177,31.3422045,30.0521177,31.3422045,30.0521177,31.3422045
Reem Khalil,Pulmonologist,4.758470894874023,El-Dokki,Respiratory,El-Dokki,5.0,30.0388955,31.2125563,30.0388955,31.2125563,30.0388955,31.2125563
Ibrahim Nasser,Physiotherapist,4.758470894874023,"El-Dokki , Tiba St from Gamaet Dwol",Musculoskeletal,"El-Dokki , Tiba St from Gamaet Dwol",,,,,,,
Hani Abdelrahman,Dentist,5.0,"Heliopolis , Ahmed el Dardiry, Ard El Golf",Others,"Heliopolis , Ahmed el Dardiry, Ard El Golf",,,,,,,
Mona El-Baz,Gynecologist,4.758470894874023,El-Dokki,Urinary and Reproductive,El-Dokki,5.0,30.0388955,31.2125563,30.0388955,31.2125563,30.0388955,31.2125563
Omar El-Naggar,Dentist,4.758470894874023,06-Oct,Others,06-Oct,68.0,22.5369227,113.9779003,,,22.5369227,113.9779003
Ibrahim El-Shazly,Gynecologist,5.0,"El-Manyal , Elmanial street",Urinary and Reproductive,"El-Manyal , Elmanial street",,,,,,,
Firas El-Gohary,Pediatrician,4.758470894874023,El-Dokki,Others,El-Dokki,5.0,30.0388955,31.2125563,30.0388955,31.2125563,30.0388955,31.2125563
Mona Salah,Gynecologist,4.5,Alharam street,Urinary and Reproductive,Alharam street,70.0,15.2855885,44.2258985,,,15.2855885,44.2258985
Laila Samir,Hematologist,4.5,"Tanta , El-Geish St.  with Al-Galaa st. Al-Awkaf tower .",Cardiovascular,"Tanta , El-Geish St.  with Al-Galaa st. Al-Awkaf tower .",,,,,,,
Adel El-Kholy,Endocrinologist,4.5,"Faisal , Faisal First",Others,"Faisal , Faisal First",,,,,,,
Youssef Zaki,Dentist,4.5,"6th of October , in front of wadi degla club",Others,"6th of October , in front of wadi degla club",,,,,,,
Mahmoud El-Sherbiny,Internist,4.5,"Heliopolis , -behind Miliatry College",Others,"Heliopolis , -behind Miliatry College",,,,,,,
Amira Hassan,Psychiatrist,4.5,Faisal,Neurological and Psychiatric,Faisal,75.0,30.0978834,32.4856496,30.0978834,32.4856496,30.0978834,32.4856496
Rami El-Sherif,Cardiologist,4.5,"El-Mansoura , Marinet Mubarak Madina Monawara st.",Cardiovascular,"El-Mansoura , Marinet Mubarak Madina Monawara st.",,,,,,,
Mona Mahmoud,General Surgeon,4.5,Helwan,Musculoskeletal,Helwan,77.0,29.8500001,31.333333,29.8500001,31.333333,29.8500001,31.333333
Mahmoud El-Saied,Endocrinologist,4.5,"El-Haram , Station Mashaal",Others,"El-Haram , Station Mashaal",,,,,,,
Bassam Fathy,Gynecologist,5.0,"Hadayek El-Ahram , z",Urinary and Reproductive,"Hadayek El-Ahram , z",,,,,,,
Mariam Fathy,Pediatrician,4.5,Alharam street,Others,Alharam street,70.0,15.2855885,44.2258985,,,15.2855885,44.2258985
Laila Farouk,Internist,4.0,"El-Rehab , Medical Complex 1",Others,"El-Rehab , Medical Complex 1",,,,,,,
Salim El-Shennawy,Rheumatologist,4.5,"Heliopolis , hassan aflaton",Musculoskeletal,"Heliopolis , hassan aflaton",,,,,,,
Heba Abdallah,Dentist,5.0,90 Street,Others,90 Street,82.0,25.3765768,55.4139127,,,25.3765768,55.4139127
Khaled Gaber,Gynecologist,4.5,"Faisal , King Faisal",Urinary and Reproductive,"Faisal , King Faisal",,,,,,,
Adel Fathy,Dentist,4.758470894874023,Naguib mahfouz,Others,Naguib mahfouz,84.0,31.9047407,35.1894873,,,31.9047407,35.1894873
Firas El-Sherbiny,Cardiologist,5.0,"El-Mansoura , el gomhoria street",Cardiovascular,"El-Mansoura , el gomhoria street",,,,,,,
Sami El-Din,Gynecologist,4.5,Shoubra El-Kheima,Urinary and Reproductive,Shoubra El-Kheima,13.0,30.0800186,31.245269,30.1210367,31.2521633,30.0800186,31.245269
Firas Zaki,Cardiologist,4.5,Menouf,Cardiovascular,Menouf,86.0,30.4626909,30.9388785,,,30.4626909,30.9388785
Noha El-Gohary,General Surgeon,4.5,"El-Sheikh Zayed , twin tower -",Musculoskeletal,"El-Sheikh Zayed , twin tower -",,,,,,,
Adel El-Masry,Nutritionist,4.5,"El-Obour City , 9th district",Others,"El-Obour City , 9th district",,,,,,,
Amira El-Mahdy,Physiotherapist,5.0,El-Mansoura,Musculoskeletal,El-Mansoura,0.0,36.786091,9.9000163,36.786091,9.9000163,36.786091,9.9000163
Dina El-Mahdy,Dermatologist,4.5,El-Ibrahimia,Skin,El-Ibrahimia,1.0,28.4243751,30.7932891,28.4243751,30.7932891,28.4243751,30.7932891
Amira El-Saied,Orthopedist,4.5,6th of October,Musculoskeletal,6th of October,2.0,29.9723458,30.9409205,29.9723458,30.9409205,29.9723458,30.9409205
Laila Shalaby,Gynecologist,4.758470894874023,El-Haram,Urinary and Reproductive,El-Haram,3.0,29.9942663,31.1604591,29.9942663,31.1604591,29.9942663,31.1604591
Nour Samir,Dermatologist,5.0,Nasr City,Skin,Nasr City,4.0,30.0521177,31.3422045,30.0521177,31.3422045,30.0521177,31.3422045
Jamal Zaki,Psychiatrist,4.5,Mahatet El-Raml,Neurological and Psychiatric,Mahatet El-Raml,89.0,31.201541,29.9013501,,,31.201541,29.9013501
Khaled Fahmy,Nutritionist,4.758470894874023,El-Dokki,Others,El-Dokki,5.0,30.0388955,31.2125563,30.0388955,31.2125563,30.0388955,31.2125563
Salma Fahmy,Pulmonologist,5.0,Khamseen Street (Carrefour extension) - Zahraa AlMaadi,Respiratory,Khamseen Street (Carrefour extension) - Zahraa AlMaadi,,,,,,,
Mariam Farouk,Orthopedist,4.758470894874023,"Ali Amin Street, Al Manteqah Al Oula",Musculoskeletal,"Ali Amin Street, Al Manteqah Al Oula",,,,,,,
Ali Mansour,Pulmonologist,4.758470894874023,El-Dokki,Respiratory,El-Dokki,5.0,30.0388955,31.2125563,30.0388955,31.2125563,30.0388955,31.2125563
Omar Taha,Pediatrician,4.5,"El-Dokki , Tahrir Street-infront Of Asad Abn Elfourat mosque",Others,"El-Dokki , Tahrir Street-infront Of Asad Abn Elfourat mosque",,,,,,,
Hassan El-Baz,Pediatrician,4.5,06-Oct,Others,06-Oct,68.0,22.5369227,113.9779003,,,22.5369227,113.9779003
Khaled El-Khatib,Ophthalmologist,5.0,Nasr City,"Eye, Ear and Nose",Nasr City,4.0,30.0521177,31.3422045,30.0521177,31.3422045,30.0521177,31.3422045
Salim Ibrahim,Internist,4.0,"El-Rehab , Medical Complex 1",Others,"El-Rehab , Medical Complex 1",,,,,,,
Amr Mostafa,Rheumatologist,4.5,"Heliopolis , hassan aflaton",Musculoskeletal,"Heliopolis , hassan aflaton",,,,,,,
Walid El-Khatib,Dentist,5.0,90 Street,Others,90 Street,82.0,25.3765768,55.4139127,,,25.3765768,55.4139127
Firas El-Baz,Gynecologist,4.5,"Faisal , King Faisal",Urinary and Reproductive,"Faisal , King Faisal",,,,,,,
Yasmin Samir,Dentist,4.758470894874023,Naguib mahfouz,Others,Naguib mahfouz,84.0,31.9047407,35.1894873,,,31.9047407,35.1894873
Youssef Farouk,Cardiologist,5.0,"El-Mansoura , el gomhoria street",Cardiovascular,"El-Mansoura , el gomhoria street",,,,,,,
Aya El-Kholy,Gynecologist,4.5,Shoubra El-Kheima,Urinary and Reproductive,Shoubra El-Kheima,13.0,30.0800186,31.245269,30.1210367,31.2521633,30.0800186,31.245269
Aya Samir,Cardiologist,4.5,Menouf,Cardiovascular,Menouf,86.0,30.4626909,30.9388785,,,30.4626909,30.9388785
Yasmin Khalil,General Surgeon,4.5,"El-Sheikh Zayed , twin tower -",Musculoskeletal,"El-Sheikh Zayed , twin tower -",,,,,,,
Heba El-Kassas,Nutritionist,4.5,"El-Obour City , 9th district",Others,"El-Obour City , 9th district",,,,,,,
Noha Fahmy,Dentist,4.758470894874023,06-Oct,Others,06-Oct,68.0,22.5369227,113.9779003,,,22.5369227,113.9779003
Sami El-Naggar,Surgical Oncologist,5.0,micheel bakhoum,Gastrointestinal and Liver,micheel bakhoum,,,,,,,
Reem Saeed,Dermatologist,4.5,"Miamy , gamal abdelnasser",Skin,"Miamy , gamal abdelnasser",,,,,,,
Ahmed El-Gohary,Orthopedist,5.0,El-Dokki,Musculoskeletal,El-Dokki,5.0,30.0388955,31.2125563,30.0388955,31.2125563,30.0388955,31.2125563
Rami Saeed,Dermatologist,4.5,"Aga , elgalaa street",Skin,"Aga , elgalaa street",,,,,,,
Hassan El-Naggar,Physiotherapist,4.5,"Banha , El Ashraf Street",Musculoskeletal,"Banha , El Ashraf Street",,,,,,,
Walid El-Shennawy,Dermatologist,4.5,"Moharam Bek , moharm bek st",Skin,"Moharam Bek , moharm bek st",,,,,,,
Noha Abdallah,Internist,4.0,"West El-Balad , kasr el neil st",Others,"West El-Balad , kasr el neil st",,,,,,,
Jamal El-Khatib,Dentist,4.5,"6th of October , in front of wadi degla club",Others,"6th of October , in front of wadi degla club",,,,,,,
Salim El-Sherbiny,Psychiatrist,4.5,Faisal,Neurological and Psychiatric,Faisal,75.0,30.0978834,32.4856496,30.0978834,32.4856496,30.0978834,32.4856496
Zein El-Gendy,Physiotherapist,5.0,El-Mansoura,Musculoskeletal,El-Mansoura,0.0,36.786091,9.9000163,36.786091,9.9000163,36.786091,9.9000163
Firas El-Kassas,Dermatologist,4.5,El-Ibrahimia,Skin,El-Ibrahimia,1.0,28.4243751,30.7932891,28.4243751,30.7932891,28.4243751,30.7932891
Fady Hassan,Orthopedist,4.5,6th of October,Musculoskeletal,6th of October,2.0,29.9723458,30.9409205,29.9723458,30.9409205,29.9723458,30.9409205
Fatma Farouk,Gynecologist,4.758470894874023,El-Haram,Urinary and Reproductive,El-Haram,3.0,29.9942663,31.1604591,29.9942663,31.1604591,29.9942663,31.1604591
Amr Fahmy,Dermatologist,5.0,Nasr City,Skin,Nasr City,4.0,30.0521177,31.3422045,30.0521177,31.3422045,30.0521177,31.3422045
Heba Nasser,Endocrinologist,4.5,"El-Haram , Station Mashaal",Others,"El-Haram , Station Mashaal",,,,,,,
Ahmed Salah,Cardiologist,5.0,"El-Mokattam , Middle Hadaba",Cardiovascular,"El-Mokattam , Middle Hadaba",,,,,,,
Adel Abdallah,Gynecologist,4.5,"El-Mansoura ,  hamza ebn abdelmotleb street",Urinary and Reproductive,"El-Mansoura ,  hamza ebn abdelmotleb street",,,,,,,
Mariam El-Din,Internist,4.5,"El-Mansoura , abdo maarof street",Others,"El-Mansoura , abdo maarof street",,,,,,,
Tamer Ibrahim,General Surgeon,5.0,"Hurghada City , Mohamed Said St. (Metro), El Kawther",Musculoskeletal,"Hurghada City , Mohamed Said St. (Metro), El Kawther",,,,,,,
Mariam El-Gendy,Gynecologist,5.0,"El-Dokki , Mosdak Street",Urinary and Reproductive,"El-Dokki , Mosdak Street",,,,,,,
Hassan Shalaby,General Surgeon,4.5,"El-Sheikh Zayed , twin tower -",Musculoskeletal,"El-Sheikh Zayed , twin tower -",,,,,,,
Salim El-Sayed,Internist,4.0,"El-Rehab , Medical Complex 1",Others,"El-Rehab , Medical Complex 1",,,,,,,
Fady Youssef,Cardiologist,5.0,"Sporting , Ahmed Allam st from elHorya Road",Cardiovascular,"Sporting , Ahmed Allam st from elHorya Road",,,,,,,
Salim El-Kholy,Gastroenterologist,4.5,Fifth Settlement Medical Center,Gastrointestinal and Liver,Fifth Settlement Medical Center,,,,,,,
Hani El-Din,Cardiologist,4.5,"El-Mansoura , Marinet Mubarak Madina Monawara st.",Cardiovascular,"El-Mansoura , Marinet Mubarak Madina Monawara st.",,,,,,,
Firas El-Amin,Dentist,4.5,"6th of October , in front of wadi degla club",Others,"6th of October , in front of wadi degla club",,,,,,,
